8,0.2,10,100,0.07701821959589253,0.7718121955063417,0.7060161685914955
5,0.2,10,100,0.18600524587774853,0.6909873303229431,0.6374320436036834
max_depth,learning_rate,n_estimators,max_leaves,KL_div,AT,AE
max_depth,learning_rate,n_estimators,max_leaves,KL_div,AT,AE
2,0.1,5,10,inf,0.48567527357437895,0.47134386893498914
2,0.1,5,20,inf,0.48567527357437895,0.47134386893498914
2,0.1,5,50,inf,0.48567527357437895,0.47134386893498914
2,0.1,5,100,inf,0.48567527357437895,0.47134386893498914
2,0.1,10,10,inf,0.48567527357437895,0.47134386893498914
2,0.1,10,20,inf,0.48567527357437895,0.47134386893498914
2,0.1,10,50,inf,0.48567527357437895,0.47134386893498914
2,0.1,10,100,inf,0.48567527357437895,0.47134386893498914
2,0.1,15,10,inf,0.48567527357437895,0.47134386893498914
2,0.1,15,20,inf,0.48567527357437895,0.47134386893498914
max_depth,learning_rate,n_estimators,max_leaves,KL_div,AT,AE
4,0.2,5,20,0.22801221604825456,0.5969617339240554,0.5624754814534519
4,0.2,5,100,0.22801221604825456,0.5969617339240554,0.5624754814534519
4,0.2,15,20,0.22801221604825456,0.5969617339240554,0.5624754814534519
4,0.2,15,100,0.22801221604825456,0.5969617339240554,0.5624754814534519
4,0.2,30,20,0.22801221604825456,0.5969617339240554,0.5624754814534519
4,0.2,30,100,0.22801221604825456,0.5969617339240554,0.5624754814534519
8,0.2,5,20,0.07904749266879783,0.6776990860543846,0.6263410772671947
8,0.2,5,100,0.03815420919010894,0.7578284467019355,0.6978285554847831
8,0.2,15,20,0.07904749266879783,0.6776990860543846,0.6263410772671947
8,0.2,15,100,0.03815420919010894,0.7578284467019355,0.6978285554847831
8,0.2,30,20,0.07904749266879783,0.6776990860543846,0.6263410772671947
8,0.2,30,100,0.03815420919010894,0.7578284467019355,0.6978285554847831
0,0.2,5,20,0.08844579844415644,0.6841123724931478,0.6327917007589766
0,0.2,5,100,0.025157046580873223,0.7880673437359519,0.7326334471194033
0,0.2,15,20,0.08844579844415644,0.6841123724931478,0.6327917007589766
0,0.2,15,100,0.025157046580873223,0.7880673437359519,0.7326334471194033
0,0.2,30,20,0.08844579844415644,0.6841123724931478,0.6327917007589766
0,0.2,30,100,0.025157046580873223,0.7880673437359519,0.7326334471194033
max_depth,learning_rate,n_estimators,max_leaves,KL_div,AT,AE
10,0.2,5,100,0.027373871633109285,0.7759306587049158,0.7175972691417613
10,0.2,5,200,0.022713644815478513,0.8018860198456254,0.7417356783208227
0,0.2,5,100,0.025157046580873223,0.7880673437359519,0.7326334471194033
0,0.2,5,200,0.01552777973179262,0.8214285396365048,0.7667652425220284
max_depth,learning_rate,n_estimators,max_leaves,KL_div,AT,AE
10,0.2,5,200,0.02435401125128044,0.8012450347992615,0.7414482979744199
10,0.2,5,400,0.02278590575592224,0.8194214208143709,0.7585389813537317
